0,28,none
1,28,0
2,22,0:1
3,20,0:2
4,10,3
5,29,1
6,22,none
7,14,none
8,10,5
9,26,5
10,20,none
11,9,none
12,23,4:8:2
13,28,12:3
14,30,none
15,13,none
16,7,none
17,13,2
18,18,16
19,16,1:3
20,27,none
21,14,none
22,20,4:5
23,30,9
24,30,19
25,20,16:21:23
26,6,none
27,16,15
28,18,none
29,23,23:13:1
30,16,none
31,27,21:5:23
32,12,none
33,11,26:21
34,12,none
35,20,3
36,27,23
37,27,24
38,11,20:10
39,23,31
40,21,28
41,9,15:14
42,17,4:2
43,6,34:25
44,18,36:0:39
45,22,23:42
46,7,31:33:36
47,11,none
48,29,11:23
49,27,none
50,9,31
51,14,34:3:40
52,24,30
53,12,none
54,15,none
55,7,19:20:54
56,24,38
57,19,12
58,13,21
59,6,51:20:28
60,29,43
61,9,21:15
62,14,14
63,26,none
64,28,none
65,30,7
66,30,53
67,25,58
68,25,44
69,11,33:59:38
70,23,27:49
71,16,none
72,26,none
73,18,none
74,18,none
75,20,20:34:3
76,10,none
77,24,14:8
78,16,20:56
79,13,56
80,19,33
81,13,10
82,11,0
83,22,26
84,8,81
85,23,none
86,25,84
87,13,61
88,9,32
89,14,60
90,6,87:56:37
91,16,90
92,11,60
93,5,87:70
94,30,30
95,8,7:64
96,7,75:48
97,10,none
98,14,73:82
99,13,none
100,14,26:19
101,15,5:11
102,23,63:60
103,22,39
104,29,none
105,30,34
106,16,none
107,29,41:78
108,5,65
109,5,32
110,22,51
111,6,none
112,20,26:6
113,30,none
114,22,45
115,21,45:68
116,21,none
117,10,none
118,9,75
119,15,83
120,22,82:49
121,6,none
122,30,44
123,21,73
124,14,27
125,5,none
126,23,97:117
127,17,77
128,6,30:112
129,21,79:66:101
130,22,85
131,15,none
132,5,63
133,15,107:86
134,30,102
135,12,82:91
136,8,none
137,9,74
138,26,none
139,19,74:128
140,16,24
141,30,none
142,8,86
143,17,21
144,17,none
145,12,none
146,21,none
147,26,135:0
148,30,92
149,14,129
