0,25,none
1,23,0
2,17,1:0
3,11,0:1
4,20,3:0:2
5,26,0
6,26,5
7,17,none
8,5,7:3
9,30,7:1:8
10,5,0
11,27,10:1:4
12,30,6
13,9,2
14,15,8
15,11,2
16,15,11
17,16,15:4:9
18,18,8
19,21,13
20,26,14:15
21,6,18
22,24,8:4
23,22,21
24,7,none
25,29,1:14
26,20,none
27,8,14:25
28,30,12
29,8,3
30,20,21:6
31,24,none
32,7,17:26:21
33,10,none
34,12,none
35,17,32:6:1
36,14,none
37,11,22
38,8,12:29
39,15,3:7:19
40,8,38:37
41,10,none
42,19,27
43,28,none
44,25,41:3
45,27,35:34
46,25,30
47,29,35
48,17,3
49,5,34:48
50,17,2
51,7,none
52,24,44
53,23,10
54,29,17
55,30,53
56,21,none
57,15,none
58,15,none
59,25,3:45
60,11,9
61,19,47
62,28,30
63,14,none
64,22,26
65,19,0:50
66,13,19
67,10,20:50:0
68,24,37
69,9,12:31
70,12,34
71,19,11:55
72,5,none
73,17,none
74,6,16:49:56
75,14,none
76,7,4:6
77,16,11:30:6
78,28,none
79,21,58
80,28,68
81,27,53:32
82,6,11
83,13,37:75
84,26,59:72:9
85,26,none
86,18,74
87,10,72
88,5,4
89,21,53
90,16,none
91,6,32:68:39
92,18,85
93,20,41:49
94,28,31
95,7,64
96,6,66
97,17,56
98,25,none
99,26,17
100,15,none
101,6,none
102,16,61
103,11,52
104,11,24
105,16,67
106,13,72:96:27
107,8,69:86
108,18,93:30
109,21,none
110,22,none
111,26,7:42
112,29,none
113,29,28:100
114,16,66
115,25,46
116,26,42:101:83
117,25,84:62
118,12,25
119,19,none
120,26,105
121,22,111
122,9,none
123,29,33:12
124,9,82
125,26,none
126,7,8
127,30,52:78
128,10,47
129,17,53:62
130,17,25:0:34
131,21,41
132,7,none
133,19,9
